Date,Open,High,Low,Close,Adj Close,Volume
2013-12-06,19.417500,19.452999,18.975000,19.062500,19.062500,241166000
2013-12-13,19.266001,19.864500,19.155001,19.759501,19.759501,270738000
2013-12-20,19.827499,20.250000,19.789000,20.219500,20.219500,218846000
2013-12-27,20.232500,20.281500,19.622499,19.898500,19.898500,172166000
2014-01-03,19.914499,20.344500,19.421000,20.050501,20.050501,234326000
2014-01-10,20.126499,20.188000,19.422501,19.790001,19.790001,262880000
2014-01-17,19.712999,20.403000,19.683001,19.993500,19.993500,254262000
2014-01-24,19.908001,20.312500,19.024500,20.150499,20.150499,502918000
2014-01-31,18.587999,18.772499,16.886499,17.729500,17.729500,780392000
2014-02-07,17.948999,18.250000,17.316000,17.860001,17.860001,435300000
2014-02-14,17.966999,17.966999,17.219000,17.490000,17.490000,323582000
2014-02-21,17.622000,18.237499,17.164499,18.006500,18.006500,366362000
2014-02-28,18.030001,18.766500,17.724001,18.608000,18.608000,323192000
2014-03-07,18.729000,19.155500,18.180500,18.575500,18.575500,313546000
2014-03-14,18.639999,18.950001,18.311001,18.448500,18.448500,287878000
2014-03-21,18.549999,18.642000,16.544001,16.923500,16.923500,492408000
2014-03-28,17.002501,17.415001,16.423000,16.681000,16.681000,455184000
2014-04-04,16.757500,16.771999,15.656500,15.855500,15.855500,747458000
2014-04-11,15.700000,16.433001,15.275000,16.245501,16.245501,511274000
2014-04-18,16.198500,16.875000,16.115499,16.857500,16.857500,392186000
2014-04-25,15.812500,15.824500,14.400000,15.394500,15.394500,911730000
2014-05-02,15.521000,15.664500,14.334000,14.416000,14.416000,441214000
2014-05-09,14.528500,15.280000,14.219000,14.759500,14.759500,378418000
2014-05-16,14.640000,15.427000,14.577500,15.245500,15.245500,320046000
2014-05-23,15.273000,15.743500,15.245000,15.689000,15.689000,260130000
2014-05-30,15.721500,16.396999,15.192000,16.178499,16.178499,374932000
2014-06-06,16.250000,17.035999,16.233000,16.295500,16.295500,416654000
2014-06-13,16.352501,16.945000,16.176001,16.350000,16.350000,397216000
2014-06-20,16.388000,16.486500,16.021000,16.284500,16.284500,326254000
2014-06-27,16.294001,16.915001,16.112000,16.874500,16.874500,257734000
2014-07-04,16.875000,16.877501,16.070000,16.396000,16.396000,244632000
2014-07-11,16.735500,17.966000,16.735500,17.622499,17.622499,504424000
2014-07-18,17.719999,18.242500,17.604000,17.930500,17.930500,367014000
2014-07-25,15.865000,16.243500,15.593000,15.649500,15.649500,716466000
2014-08-01,15.684500,15.809000,15.229500,15.572500,15.572500,394540000
2014-08-08,15.597000,16.704500,15.533000,16.660500,16.660500,308996000
2014-08-15,16.700001,16.889999,16.416000,16.645500,16.645500,237550000
2014-08-22,16.649500,17.333500,16.540001,17.000999,17.000999,260758000
2014-08-29,17.087999,17.469000,16.858000,17.297501,17.297501,204496000
2014-09-05,17.315001,17.341499,16.319500,16.525999,16.525999,324534000
2014-09-12,16.478001,16.644501,15.950000,16.250000,16.250000,348050000
2014-09-19,16.379999,16.638000,15.978000,16.096500,16.096500,358390000
2014-09-26,16.030001,16.187500,15.565500,15.920500,15.920500,296836000
2014-10-03,16.018000,16.257999,15.707000,15.768500,15.768500,294676000
2014-10-10,15.701000,15.888500,14.691500,15.143000,15.143000,430136000
2014-10-17,15.357500,15.949000,15.101000,15.659000,15.659000,467260000
2014-10-24,14.220000,14.987000,14.200000,14.953500,14.953500,805228000
2014-10-31,15.257500,15.400500,14.614500,14.832000,14.832000,393064000
2014-11-07,14.891000,15.894500,14.814500,15.824000,15.824000,302590000
2014-11-14,15.856000,16.643999,15.820000,16.527000,16.527000,478610000
2014-11-21,16.771000,16.916500,16.563999,16.678499,16.678499,235388000
2014-11-28,16.801500,17.063000,15.673500,15.846500,15.846500,395166000
2014-12-05,15.840000,15.846500,15.057000,15.368000,15.368000,349254000
2014-12-12,15.199500,15.543000,14.651500,14.886500,14.886500,513360000
2014-12-19,14.845500,15.374500,14.776000,15.151500,15.151500,338808000
2014-12-26,15.250000,15.713500,15.190500,15.517500,15.517500,200876000
2015-01-02,15.629000,15.737500,14.619000,15.023000,15.023000,296102000
2015-01-09,15.074000,15.143500,14.325000,14.347500,14.347500,402162000
2015-01-16,14.314000,15.612500,14.262500,15.516000,15.516000,439620000
2015-01-23,15.404000,15.846500,14.966500,15.589000,15.589000,446136000
2015-01-30,17.316000,18.940001,17.037001,18.694500,18.694500,1034362000
2015-02-06,18.743500,18.925501,18.360001,18.858500,18.858500,289636000
2015-02-13,18.920500,19.150000,18.633499,18.950001,18.950001,255054000
2015-02-20,18.931000,19.468500,18.792000,19.240000,19.240000,264348000
2015-02-27,19.200001,19.421000,18.974001,19.391500,19.391500,231412000
2015-03-06,19.275999,19.350000,18.313000,18.712000,18.712000,267290000
2015-03-13,18.576000,18.855499,18.334000,18.662001,18.662001,231452000
2015-03-20,18.814501,19.088499,18.282499,18.367500,18.367500,291812000
2015-03-27,18.355499,18.885000,18.328501,18.612499,18.612499,225404000
2015-04-03,18.504999,19.221001,18.468000,19.177000,19.177000,200686000
2015-04-10,19.215500,19.390499,19.007000,19.302000,19.302000,221304000
2015-04-17,19.131500,19.730000,18.719999,19.499500,19.499500,499080000
2015-04-24,21.950001,22.632500,20.962000,21.089001,21.089001,680358000
2015-05-01,21.191000,21.488501,20.727501,21.344000,21.344000,280224000
2015-05-08,21.537500,21.950001,21.290001,21.614000,21.614000,222702000
2015-05-15,21.400000,21.844999,20.917999,21.581499,21.581499,308246000
2015-05-22,21.577499,21.622000,21.100000,21.328501,21.328501,168166000
2015-05-29,21.361500,21.919500,21.309999,21.539000,21.539000,243540000
2015-06-05,21.483000,21.944500,20.957001,21.648500,21.648500,229278000
2015-06-12,21.562500,21.986500,21.132000,21.969500,21.969500,239322000
2015-06-19,22.013000,22.351999,21.662001,22.004999,22.004999,288440000
2015-06-26,22.087999,22.174500,21.450001,21.885500,21.885500,226102000
2015-07-03,21.761499,21.986500,21.278500,21.719500,21.719500,200238000
2015-07-10,22.024500,23.794001,21.950001,23.774000,23.774000,363540000
2015-07-17,23.885000,24.660000,23.785000,24.108999,24.108999,507116000
2015-07-24,28.949499,29.028500,26.156000,26.837999,26.837999,843384000
2015-07-31,26.954500,27.142000,26.375999,26.473000,26.473000,313686000
2015-08-07,26.458000,26.733000,25.653000,26.483000,26.483000,322384000
2015-08-14,26.412500,26.974501,25.788500,25.789000,25.789000,267596000
2015-08-21,25.368000,26.134501,22.549999,25.918501,25.918501,699130000
2015-08-28,25.875000,26.075001,24.671499,25.236000,25.236000,329406000
2015-09-04,24.882500,26.497499,24.782000,26.112000,26.112000,268998000
2015-09-11,26.053499,27.348499,25.860001,26.943501,26.943501,312926000
2015-09-18,26.731001,27.489000,26.143499,26.687500,26.687500,380474000
2015-09-25,27.128500,27.139999,24.525000,26.035999,26.035999,433924000
2015-10-02,25.649500,27.575001,25.405001,26.658001,26.658001,419610000
2015-10-09,26.724001,28.150000,26.513500,28.122000,28.122000,355412000
2015-10-16,28.263500,28.950001,27.625999,28.195499,28.195499,483208000
2015-10-23,30.884001,31.377001,29.768000,31.327499,31.327499,531434000
2015-10-30,31.300501,32.849998,31.020500,32.782501,32.782501,390042000
2015-11-06,32.750000,33.798000,32.362999,33.279999,33.279999,426050000
2015-11-13,33.178501,33.643002,31.114500,33.063499,33.063499,543844000
2015-11-20,33.396999,34.138500,32.878502,33.766998,33.766998,310450000
2015-11-27,34.040001,34.241001,33.074001,33.312500,33.312500,434988000
2015-12-04,33.299999,33.999500,32.784000,33.116001,33.116001,410664000
2015-12-11,32.561501,34.125000,31.763500,33.532501,33.532501,444072000
2015-12-18,33.432499,33.841999,32.831501,33.139500,33.139500,331482000
2015-12-25,33.278000,34.821999,33.275002,33.794498,33.794498,335744000
2016-01-01,32.814499,32.886002,30.260500,30.396999,30.396999,550824000
2016-01-08,30.983000,31.299500,28.493999,29.650000,29.650000,600436000
2016-01-15,28.612000,29.440500,27.358999,28.750999,28.750999,510206000
2016-01-22,29.436501,31.903000,28.938999,31.767500,31.767500,649000000
2016-01-29,28.599001,29.650000,25.961000,26.813000,26.813000,871850000
2016-02-05,26.464001,26.472500,23.700001,25.191000,25.191000,815918000
2016-02-12,25.535000,27.059999,25.074499,26.250000,26.250000,401246000
2016-02-19,26.035500,28.032499,25.767500,27.757500,27.757500,506986000
2016-02-26,28.006001,29.250000,27.625500,28.874500,28.874500,427688000
2016-03-04,29.053499,29.070000,27.395000,27.946501,27.946501,427412000
2016-03-11,28.347500,29.076000,27.750500,27.972000,27.972000,411362000
2016-03-18,28.047001,29.177500,26.929001,29.147499,29.147499,512448000
2016-03-25,29.219999,30.162001,28.778000,29.681999,29.681999,281728000
2016-04-01,29.524500,30.119499,29.262501,29.571501,29.571501,274720000
2016-04-08,29.716000,31.219000,29.450001,31.037500,31.037500,313554000
2016-04-15,31.096001,31.900499,30.905500,31.549999,31.549999,330204000
2016-04-22,31.223499,31.412500,29.959999,30.100000,30.100000,444592000
2016-04-29,33.299999,34.275002,32.700001,32.954498,32.954498,626644000
2016-05-06,32.802502,36.122501,32.800499,35.896500,35.896500,536790000
2016-05-13,35.731998,35.962502,34.438000,34.925999,34.925999,452530000
2016-05-20,35.052502,35.750000,34.820999,35.745499,35.745499,285190000
2016-05-27,35.750000,36.414001,35.555000,36.411999,36.411999,243144000
2016-06-03,36.337002,36.575001,35.921501,36.382500,36.382500,263966000
2016-06-10,36.117500,36.249001,35.264999,35.875500,35.875500,301844000
2016-06-17,35.909500,36.105999,34.959000,36.104000,36.104000,335960000
2016-06-24,34.650002,35.974998,34.105999,35.780998,35.780998,463254000
2016-07-01,35.866001,36.977501,35.827000,36.828499,36.828499,244716000
2016-07-08,37.007000,37.867001,36.900002,37.060001,37.060001,375620000
2016-07-15,37.327499,37.467999,36.436001,37.221500,37.221500,256484000
2016-07-22,37.389500,37.667999,36.637501,37.630501,37.630501,360348000
2016-07-29,38.250000,38.525002,37.517502,38.038502,38.038502,414366000
2016-08-05,38.240501,38.687500,38.050999,38.562000,38.562000,203816000
2016-08-12,38.423000,38.657501,37.959999,38.223000,38.223000,172726000
2016-08-19,38.095001,38.235001,37.605000,37.960999,37.960999,178274000
2016-08-26,38.002499,38.749001,37.990002,38.530998,38.530998,202214000
2016-09-02,38.705502,39.539501,38.511002,39.202999,39.202999,207134000
2016-09-09,38.967999,39.049999,37.799999,38.484501,38.484501,321124000
2016-09-16,38.664001,40.294498,38.549999,40.235001,40.235001,330622000
2016-09-23,40.156502,41.875000,39.857498,41.452499,41.452499,363376000
2016-09-30,41.630501,42.360500,41.513000,42.083000,42.083000,326068000
2016-10-07,42.289501,42.297501,41.060501,41.464001,41.464001,266266000
2016-10-14,41.754002,41.786999,40.154999,40.515999,40.515999,282330000
2016-10-21,40.467999,42.154499,40.450001,40.917999,40.917999,430136000
2016-10-28,39.099998,40.042000,38.177502,38.351501,38.351501,609176000
2016-11-04,38.139500,39.587002,35.884998,37.118999,37.118999,716580000
2016-11-11,36.786499,37.875000,35.505001,37.820000,37.820000,560776000
2016-11-18,38.049999,39.619999,37.882000,39.006001,39.006001,356792000
2016-11-25,39.325001,39.337502,36.901501,37.182499,37.182499,376802000
2016-12-02,37.169998,38.689499,36.834999,38.366501,38.366501,370904000
2016-12-09,38.500000,39.123001,37.860001,38.049999,38.049999,399536000
2016-12-16,38.250000,38.719501,37.700001,38.317001,38.317001,305064000
2016-12-23,38.227501,39.000000,37.899502,38.257500,38.257500,221592000
2016-12-30,38.323502,39.119999,37.384998,39.022499,39.022499,320022000
2017-01-06,39.118000,40.706501,38.924000,40.681999,40.681999,397148000
2017-01-13,40.716000,41.082500,40.172001,40.452000,40.452000,247148000
2017-01-20,40.764000,42.192001,40.254002,41.957500,41.957500,333086000
2017-01-27,41.950001,42.124500,40.819000,41.997501,41.997501,421678000
2017-02-03,40.335999,41.250000,40.150002,41.068001,41.068001,471502000
2017-02-10,41.191002,42.250000,41.142502,42.207001,42.207001,301564000
2017-02-17,42.099998,43.042999,42.036499,42.609501,42.609501,253980000
2017-02-24,42.234501,42.741501,41.887501,42.445499,42.445499,281750000
2017-03-03,42.360001,42.820000,42.056000,42.650002,42.650002,222676000
2017-03-10,42.849998,42.867500,42.355499,42.671001,42.671001,217624000
2017-03-17,42.674500,43.139999,41.952499,42.368999,42.368999,293234000
2017-03-24,42.584000,43.853001,41.674999,43.817001,43.817001,303684000
2017-03-31,43.849998,46.186001,43.832500,44.914001,44.914001,524342000
2017-04-07,44.982498,45.562000,44.224499,44.233501,44.233501,310772000
2017-04-14,44.375000,45.525002,44.375000,45.103001,45.103001,230770000
2017-04-21,45.133499,46.092999,44.838501,45.918999,45.918999,336768000
2017-04-28,47.441502,47.720001,46.216499,46.876499,46.876499,453622000
